time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,271,271,1024.5830258302583,277662.0,4.442592,4.442592
1000.0,247,518,973.0,517993.0,4.143944,3.845296
1500.0,250,768,1030.696,775667.0,4.136890666666666,4.122783999999999
2000.0,267,1035,1049.8389513108614,1055974.0,4.223896,4.484912
2500.0,236,1271,892.9703389830509,1266715.0,4.053488,3.371856
3000.0,258,1529,1069.3875968992247,1542617.0,4.113645333333333,4.414432
3500.0,253,1782,1043.4466403162055,1806609.0,4.129392,4.223872
4000.0,254,2036,1034.9685039370079,2069491.0,4.138982,4.206112
4500.0,254,2290,1053.4803149606298,2337075.0,4.1548,4.281344
5000.0,255,2545,1013.156862745098,2595430.0,4.152688,4.13368
5500.0,250,2795,956.896,2834654.0,4.123133090909091,3.827584
6000.0,243,3038,1009.6090534979423,3079989.0,4.106652,3.92536
6500.0,236,3274,1008.3262711864406,3317954.0,4.083635692307692,3.80744
7000.0,252,3526,1010.0833333333334,3572495.0,4.082851428571429,4.072656
7500.0,270,3796,960.7962962962963,3831910.0,4.087370666666667,4.15064
8000.0,267,4063,973.8838951310861,4091937.0,4.091937,4.160432
8500.0,241,4304,1037.6141078838175,4342002.0,4.0865901176470585,4.001040000000001
9000.0,260,4564,1013.7076923076924,4605566.0,4.093836444444444,4.217024
9500.0,255,4819,1030.992156862745,4868469.0,4.099763368421052,4.206448
10000.0,261,5080,965.6245210727969,5120497.0,4.0963976,4.032448
10500.0,229,5309,978.0174672489082,5344463.0,4.071971809523809,3.583456
11000.0,285,5594,984.6245614035088,5625081.0,4.090968,4.489888
11500.0,233,5827,996.68669527897,5857309.0,4.074649739130434,3.715648
12000.0,238,6065,1025.953781512605,6101486.0,4.067657333333334,3.906832
12500.0,249,6314,978.1887550200803,6345055.0,4.0608352000000005,3.897104
13000.0,274,6588,979.0109489051094,6613304.0,4.069725538461538,4.291984
13500.0,246,6834,996.4878048780488,6858440.0,4.064260740740741,3.922176
14000.0,250,7084,995.312,7107268.0,4.061296,3.981248
14500.0,255,7339,998.3686274509804,7361852.0,4.0617114482758625,4.073344
15000.0,262,7601,993.1984732824427,7622070.0,4.065104,4.163488
15500.0,215,7816,992.9441860465116,7835553.0,4.044156387096774,3.415728
16000.0,239,8055,887.8912133891214,8047759.0,4.0238795,3.395296
16500.0,255,8310,952.0078431372549,8290521.0,4.019646545454545,3.884192
17000.0,255,8565,1031.964705882353,8553672.0,4.025257411764706,4.210416
17500.0,238,8803,1037.357142857143,8800563.0,4.023114514285714,3.950256
18000.0,270,9073,998.9481481481481,9070279.0,4.031235111111111,4.315456
18500.0,245,9318,945.4408163265306,9301912.0,4.022448432432433,3.706128
19000.0,257,9575,1029.3035019455253,9566443.0,4.027976,4.232496
19500.0,245,9820,888.6938775510204,9784173.0,4.014019692307692,3.48368
20000.0,246,10066,1014.369918699187,1.0033708E7,4.0134832000000005,3.99256
20500.0,269,10335,916.996282527881,1.028038E7,4.011855609756098,3.946752
21000.0,251,10586,976.6693227091633,1.0525524E7,4.009723428571428,3.922304
21500.0,283,10869,997.73851590106,1.0807884E7,4.0215382325581395,4.51776
22000.0,251,11120,991.2868525896414,1.1056697E7,4.0206170909090915,3.981008
22500.0,266,11386,1026.3157894736842,1.1329697E7,4.028336711111111,4.368
23000.0,236,11622,1002.478813559322,1.1566282E7,4.023054608695652,3.78536
23500.0,254,11876,1004.1338582677165,1.1821332E7,4.024283234042553,4.0808
24000.0,279,12155,986.2150537634409,1.2096486E7,4.032162,4.402464
24500.0,250,12405,991.912,1.2344464E7,4.030845387755102,3.967648
25000.0,217,12622,1014.5714285714286,1.2564626E7,4.020680319999999,3.522592
25500.0,231,12853,1013.2121212121212,1.2798678E7,4.0152715294117645,3.744832
26000.0,257,13110,1017.0817120622568,1.3060068E7,4.018482461538461,4.18224
26500.0,255,13365,991.0235294117647,1.3312779E7,4.018952150943396,4.043376
27000.0,224,13589,947.6919642857143,1.3525062E7,4.007425777777778,3.396528
27500.0,270,13859,941.5111111111111,1.377927E7,4.008514909090909,4.067328
28000.0,281,14140,1059.693950177936,1.4077044E7,4.022012571428571,4.764384
28500.0,241,14381,1015.9502074688796,1.4321888E7,4.020179087719298,3.917504
29000.0,257,14638,968.3463035019455,1.4570753E7,4.0195180689655166,3.98184
29500.0,291,14929,1012.8316151202749,1.4865487E7,4.031318508474576,4.715744
30000.0,240,15169,1034.2583333333334,1.5113709E7,4.0303224,3.9715520000000004
30500.0,288,15457,961.3541666666666,1.5390579E7,4.036873180327869,4.42992
31000.0,249,15706,1056.6385542168675,1.5653682E7,4.039659870967742,4.209648
31500.0,259,15965,1001.034749034749,1.591295E7,4.041384126984127,4.148288
32000.0,213,16178,984.8544600938967,1.6122724E7,4.030681,3.356384
32500.0,266,16444,1034.1954887218046,1.639782E7,4.036386461538462,4.401536000000001
33000.0,242,16686,1008.0537190082645,1.6641769E7,4.034368242424243,3.903184
33500.0,257,16943,979.5408560311284,1.6893511E7,4.03427128358209,4.027872
34000.0,247,17190,976.5546558704453,1.713472E7,4.031698823529411,3.859344
34500.0,268,17458,985.1156716417911,1.7398731E7,4.034488347826087,4.224176
35000.0,240,17698,1023.9708333333333,1.7644484E7,4.033024914285714,3.932048
35500.0,234,17932,1010.7649572649573,1.7881003E7,4.029521802816902,3.784304
36000.0,255,18187,1034.5529411764705,1.8144814E7,4.032180888888889,4.220976
36500.0,238,18425,967.5588235294117,1.8375093E7,4.027417643835617,3.684464
37000.0,237,18662,933.8101265822785,1.8596406E7,4.020844540540541,3.541008
37500.0,247,18909,964.9757085020243,1.8834755E7,4.018081066666666,3.813584
38000.0,245,19154,994.8857142857142,1.9078502E7,4.016526736842105,3.899952
38500.0,258,19412,983.1860465116279,1.9332164E7,4.017073038961039,4.058592
39000.0,258,19670,994.4069767441861,1.9588721E7,4.01819917948718,4.104912
39500.0,238,19908,1033.5294117647059,1.9834701E7,4.017154632911392,3.93568
40000.0,247,20155,1004.0202429149798,2.0082694E7,4.0165388,3.967888
40500.0,236,20391,1007.5127118644068,2.0320467E7,4.013919407407408,3.804368
41000.0,216,20607,997.5231481481482,2.0535932E7,4.007011121951219,3.44744
41500.0,261,20868,973.1379310344828,2.0789921E7,4.007695614457831,4.063824
42000.0,270,21138,1023.6148148148148,2.1066297E7,4.012628,4.422016
42500.0,254,21392,938.0708661417323,2.1304567E7,4.010271435294118,3.81232
43000.0,247,21639,1011.4858299595141,2.1554404E7,4.010121674418604,3.997392
43500.0,290,21929,980.7620689655172,2.1838825E7,4.016335632183908,4.550736
44000.0,242,22171,1051.0289256198348,2.2093174E7,4.016940727272727,4.069584000000001
44500.0,231,22402,981.7705627705627,2.2319963E7,4.012577617977528,3.628624
45000.0,257,22659,1046.8677042801557,2.2589008E7,4.015823644444445,4.30472
45500.0,249,22908,1024.14859437751,2.2844021E7,4.016531164835165,4.080208000000001
46000.0,243,23151,1020.6255144032922,2.3092033E7,4.016005739130435,3.968192
46500.0,232,23383,1025.0258620689656,2.3329839E7,4.013735741935484,3.804896
47000.0,252,23635,1008.9285714285714,2.3584089E7,4.014313021276596,4.068
47500.0,269,23904,925.992565055762,2.3833181E7,4.014009431578947,3.985472
48000.0,258,24162,1010.1124031007752,2.409379E7,4.015631666666667,4.169744
48500.0,211,24373,1065.3554502369668,2.431858E7,4.011312164948453,3.59664
49000.0,249,24622,1070.4779116465863,2.4585129E7,4.013898612244898,4.264784
49500.0,260,24882,945.376923076923,2.4830927E7,4.013079111111111,3.932768
50000.0,259,25141,1006.6833976833976,2.5091658E7,4.01466528,4.171696
50500.0,267,25408,1071.1610486891386,2.5377658E7,4.02022304950495,4.576
51000.0,255,25663,1053.4901960784314,2.5646298E7,4.022948705882353,4.29824
51500.0,227,25890,1030.9383259911895,2.5880321E7,4.020244038834951,3.744368
52000.0,264,26154,1002.8787878787879,2.6145081E7,4.022320153846154,4.23616
52500.0,253,26407,1033.4229249011858,2.6406537E7,4.023853257142857,4.183296
53000.0,234,26641,937.3333333333334,2.6625873E7,4.018999698113208,3.509376
53500.0,239,26880,1021.5983263598326,2.6870035E7,4.017949158878504,3.906592
54000.0,247,27127,1018.1174089068826,2.712151E7,4.018001481481481,4.0236
54500.0,263,27390,1000.8326996197719,2.7384729E7,4.019776733944954,4.211504
55000.0,251,27641,993.9083665338645,2.76342E7,4.01952,3.991536
55500.0,242,27883,1005.095041322314,2.7877433E7,4.018368720720721,3.891728
56000.0,230,28113,1034.6391304347826,2.81154E7,4.016485714285714,3.807472
56500.0,265,28378,1047.856603773585,2.8393082E7,4.020259398230089,4.442912
57000.0,243,28621,990.2345679012345,2.8633709E7,4.018766175438596,3.850032
57500.0,234,28855,1023.2905982905983,2.8873159E7,4.0171351652173914,3.8312
58000.0,222,29077,1003.0900900900901,2.9095845E7,4.01322,3.562976
58500.0,241,29318,1005.2904564315353,2.933812E7,4.012050598290599,3.8764
59000.0,252,29570,964.6309523809524,2.9581207E7,4.011011118644068,3.889392
59500.0,252,29822,979.0992063492064,2.982794E7,4.010479327731092,3.947728
60000.0,238,30060,1000.7857142857143,3.0066127E7,4.008816933333334,3.810992
60500.0,250,30310,1038.564,3.0325768E7,4.010018909090909,4.154256
61000.0,241,30551,977.551867219917,3.0561358E7,4.008046950819672,3.76944
61500.0,240,30791,1024.2541666666666,3.0807179E7,4.007437918699186,3.933136
62000.0,275,31066,985.6072727272727,3.1078221E7,4.010093032258064,4.336672
62500.0,258,31324,974.8682170542636,3.1329737E7,4.010206336,4.024256
63000.0,236,31560,979.5635593220339,3.1560914E7,4.007735111111111,3.698832
63500.0,276,31836,987.5688405797101,3.1833483E7,4.0105175433070865,4.361104
